name;mass;radius;orbital_period;semi_major_axis;star_distance;star_teff;star_radius;temp_calculated;mag_v;mag_j;mag_k;scale_factor;tsm;esm;albedo;molecules
KELT-2 A b;1.486;1.306;4.1137914;0.05498;128.9;6148.0;1.842;1715.9702692513;8.7;7.669;7.346;1.15;112.7559;160.197;0.0446005509641873;"{Molecular ratios: C\/O, etc..."":""Detection"",""H2O"":""Detection""}"""
KELT-23 Ab;0.937;1.29;2.25528756;0.03523;125.42;5899.0;0.996;1513.0;10.4;9.2;8.350957978986402;1.15;256.7721;4920.829656780736;0.0446005509641873;"{H2O"":""Detection""}"""
KELT-3 b;1.418;1.333;2.7033902;0.04117;178.0;6304.0;1.482;1823.825685968;9.8;8.963;8.662;1.15;113.6839;150.3494;0.0446005509641873;"{H"":""No detection""}"""
KELT-7 b;1.24;1.293;2.734784;0.0446;129.0;6789.0;1.732;2048.0;8.54;7.739;7.543;1.15;171.3981;189.8241;0.0446005509641873;"{Ca+"":""Upper limit"",""Na"":""Upper limit"",""H"":""Upper limit"",""Li"":""Upper limit"",""Mg"":""Upper limit""}""; {H2O"":""Detection"",""H-"":""Detection""}""; {Na"":""Upper limit""}"""
KELT-8 b;0.874;1.86;3.24406;0.04571;236.0;5754.0;1.67;1675.0;10.83;9.586;9.177;1.15;272.024;176.844;0.0446005509641873;"{H2O"":""Detection""}"""
KELT-9 b;2.88;1.84;1.4811235;0.03368;204.455;10170.0;2.36;3921.0;7.56;7.458;7.482;1.15;249.5927;324.6482;0.0446005509641873;"{Fe"":""Detection""}""; {H-"":""Detection""}""; {Fe"":""Detection"",""TiO"":""Upper limit""}""; {He"":""Upper limit""}""; {Fe"":""Detection"",""Fe+"":""Detection"",""Mg"":""Detection"",""H"":""Detection""}""; {O"":""Detection""}""; {Si"":""Detection"",""Mg+"":""Detection"",""Ca"":""Detection""}""; {H"":""Detection"",""Na"":""Detection"",""Mg"":""Detection"",""Ca+"":""Detection"",""Sc+"":""Detection"",""Ti+"":""Detection"",""Cr+"":""Detection"",""Fe"":""Detection"",""Fe+"":""Detection"",""Ca"":""Detection"",""Cr"":""Detection"",""Ni"":""Detection"",""Sr+"":""Detection"",""Tb+"":""Detection""}""; {Fe+"":""Detection""}""; {Na"":""Detection"",""Cr+"":""Detection"",""Sc+"":""Detection"",""Y+"":""Detection"",""Mg"":""Detection"",""Fe"":""Detection"",""Fe+"":""Detection"",""Ti+"":""Detection""}""; {Ca+"":""Detection""}""; {H"":""Detection""}""; {Fe"":""Detection"",""Fe+"":""Detection"",""Ti+"":""Detection""}""; {Ti+"":""Detection"",""Fe"":""Detection"",""Fe+"":""Detection"",""Na"":""Detection"",""Mg"":""Detection"",""Na+"":""Detection"",""Sc+"":""Detection""}""; []; {H"":""Detection"",""Na"":""Detection"",""Ca"":""Detection"",""Ca+"":""Detection"",""Fe"":""Detection"",""Fe+"":""Detection"",""Mg"":""Detection"",""Ti"":""Detection"",""Sc"":""Detection"",""Cr"":""Detection""}""; {TiO"":""Upper limit"",""VO"":""Upper limit""}""; {TiO"":""Detection"",""VO"":""Detection"",""FeH"":""Detection"",""H-"":""Detection""}""; {Na"":""Detection""}"""
KOI-13 b;4.22;1.512;1.763588;0.03641;415.0;7650.0;1.74;2750.0;10.0;9.466;9.425;1.15;21.9958;143.1471;0.0;"[]; {H2O"":""Detection""}"""
Kepler-25 c;0.0479;0.465;8.27095205;0.09614;244.96;6270.0;1.31;1043.3746987219;11.0;9.764;9.493;1.15;72.3301;5.9588;0.0446005509641873;"{He"":""Upper limit""}"""
Kepler-5 b;2.111;1.426;3.5484657;0.0538;477.98;6297.0;1.79;1750.0;13.325;12.115;11.769;1.15;14.4013;26.4681;0.1115013774104683;"{CO"":""Theoretical prediction""}"""
Kepler-51 b;0.007;0.633;8.27095205;0.09614;477.98;5670.0;0.881;543.0;15.0;13.562;13.197;1.15;249.8959;0.9046;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
Kepler-51 d;0.024;0.865;8.27095205;0.09614;477.98;5670.0;0.881;381.0;15.0;13.562;13.197;1.15;130.4993;0.418;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
Kepler-6 b;0.668;1.304;3.2346996;0.04852;477.98;5647.0;1.39;1460.0;13.286;12.001;11.634;1.15;50.7432;32.9375;0.11;[]
Kepler-62 e;0.113;0.144;8.27095205;0.09614;368.0;4925.0;0.64;270.0;14.0;12.256;11.659;1.26;0.3433;0.008;0.0446005509641873;"{O3"":""Theoretical prediction"",""H2O"":""Theoretical prediction"",""O2"":""Theoretical prediction"",""CO2"":""Theoretical prediction""}"""
Kepler-68 b;0.02407;0.206;5.3988;0.0617;144.77;5793.0;1.24;1280.0;10.077;8.975;8.588;1.26;26.9999;3.2287;0.0446005509641873;"{He"":""Upper limit""}"""
L 168-9 b;0.01265;0.1392;1.40152634;0.0208;25.1496;3842.0;0.604;816.0;11.02;7.941;7.082;1.26;68.5668;7.9713;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
L 98-59 b;0.0013;0.0758;2.2531136;0.02191;10.623;3500.0;0.291;627.0;11.7;7.933;7.101;0.19;53.9759;5.6176;0.0446005509641873;"{Featureless spectra"":""Detection""}""; {Featureless spectra"":""Detection"",""SO2"":""Theoretical prediction""}"""
L 98-59 c;0.00698;0.12356;3.6906777;0.0304;10.623;3500.0;0.291;553.0;11.7;7.933;7.101;0.19;38.4035;10.0808;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
L 98-59 d;0.0061;0.1357;7.4507245;0.0486;10.623;3500.0;0.291;416.0;11.7;7.933;7.101;1.26;290.3941;4.1832;0.0446005509641873;"{Featureless spectra"":""Detection""}""; {SO2"":""Detection"",""H2S"":""Detection""}""; {H2S"":""Detection"",""SO2"":""Detection""}"""
LHS 1140 b;0.02196;0.15407;8.27095205;0.0936;12.47;3131.0;0.186;230.0;14.15;9.612001;8.821;1.26;73.7385;0.2299;0.0446005509641873;"{H2O"":""Detection""}""; {H2O"":""Upper limit""}""; {Featureless spectra"":""Detection""}"""
LHS 1478 b;0.00733;0.1106;1.9495378;0.01848;18.21;3381.0;0.246;595.0;13.0;9.615;8.767;0.19;18.1996;6.9359;0.0446005509641873;[]
LHS 3844 b;0.0093245157590364;0.1178;0.46292792;0.00623;14.9;3036.0;0.189;805.0;15.2;10.046;9.145001;0.19;32.4889;29.6811;0.0;[]
LTT 1445A b;0.00903;0.11643;5.3587657;0.03813;6.9;3340.0;0.27;424.0;10.17403881278539;8.798540093711468;8.350957978986402;0.19;3343.223394303798;4920.829656780736;0.0446005509641873;"{Featureless spectra"":""Detection""}""; []"
LTT 3780 c;0.0267;0.205;8.27095205;0.077;21.981;3360.0;0.374;353.0;13.0;9.007;8.204001;1.26;71.656;1.722;0.0446005509641873;"{NH3"":""No detection"",""CH4"":""Upper limit""}"""
LTT 9779 b;0.09225;0.4211;0.7920641;0.01679;80.6;5445.0;0.92;2000.0;9.76;8.446;8.016;1.15;198.9032;71.6524;0.0446005509641873;"[]; {Featureless spectra"":""Detection"",""H"":""Upper limit"",""Na"":""Upper limit""}""; {FeH"":""Detection"",""CO2"":""Detection"",""H2O"":""Detection"",""He"":""Upper limit""}""; {Featureless spectra"":""Detection""}""; {He"":""No detection""}"""
MASCARA-1 b;3.7;1.5;2.14878;0.043;188.7;7554.0;2.1;2594.3;8.3;7.819;7.74;1.15;74.4821;196.9048;0.0446005509641873;"{Fe"":""Detection"",""Ti"":""Detection""}""; {Fe"":""Detection"",""Cr"":""Detection"",""Ti"":""Detection""}""; {Featureless spectra"":""Detection""}""; {H2O"":""Detection"",""CO"":""Detection""}""; {Molecular ratios: C/O, etc..."":""Detection"",""Fe"":""Detection"",""H2O"":""Detection"",""CO"":""Detection""}""; []"
MASCARA-2 b/KELT-20 b;3.518;1.83;3.4741085;0.0542;152.8699450231481;8980.0;1.6;2230.0;3.0;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0;"{Na"":""Detection""}""; []; {CO"":""Detection"",""H2O"":""Detection""}""; {H"":""Detection""}""; {He"":""Upper limit""}""; {Si"":""Detection""}""; {H2O"":""Detection"",""CO"":""Detection""}""; {Fe"":""Detection"",""Fe+"":""Detection"",""Na"":""Detection"",""Mg"":""Detection"",""Cr+"":""Detection""}""; {Fe+"":""Detection""}""; {H"":""Detection"",""Na"":""Detection""}""; {Fe"":""Detection"",""Fe+"":""Detection""}""; {Fe"":""Detection"",""Fe+"":""Detection"",""Cr"":""Detection""}""; {Fe+"":""No detection"",""Cr"":""No detection"",""Fe"":""Detection""}""; {Fe"":""Detection"",""Fe+"":""Detection"",""Ca+"":""Detection"",""Na"":""Detection""}""; {H"":""Detection"",""Na"":""Detection"",""Ca+"":""Detection"",""Fe+"":""Detection""}""; {Fe"":""Detection""}""; {Fe+"":""Detection"",""Ni+"":""Detection""}""; {Fe"":""Detection"",""Ni"":""Detection"",""Cr"":""No detection""}""; {FeH"":""Upper limit""}"""
NGTS-5 b;0.229;1.136;3.3569866;0.0382;309.5;4987.0;0.739;952.0;13.789;12.117;11.612;1.15;214.0157;45.4613;0.0446005509641873;"{He"":""Upper limit""}"""
NLTT 5306 b;4.22;23.043886752891;0.07;0.00263;77.9678;7756.0;0.0156;910.86849363777;10.17403881278539;16.24;15.56;1.15;2349003.5273;3696574.1538;0.0446005509641873;[]
PDS 70 b;4.22;2.72;8.27095205;0.09614;113.43;4237.0;1.26;1204.0;12.233;9.553001;8.542;1.15;136.1733;724.7777;0.0;"{CO"":""Detection"",""H2O"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {CO"":""Upper limit"",""H2O"":""Upper limit"",""CH4"":""Upper limit""}"""
Qatar-1 b;1.294;1.143;1.42002504;0.02332;187.0;5013.0;0.803;1418.0;12.84;10.999;10.4;1.15;81.4418;146.677;0.0446005509641873;"{Featureless spectra"":""Detection""}""; []"
Qatar-2 b;2.494;1.254;1.33711647;0.02153;182.32;4645.0;0.78;1344.0;13.3;11.35;10.619;1.15;47.6875;168.8255;0.0446005509641873;[]
TOI-1136 d;0.02627;0.4128;8.27095205;0.09614;84.536;5770.0;0.968;843.0;9.5;8.363;8.034;1.15;260.2758;11.5922;0.0446005509641873;"{H"":""Detection""}""; {He"":""Upper limit""}"""
TOI-1235 b;0.0186;0.15113;3.444717;0.03826;39.68;3997.0;0.619;775.0;11.0;8.711;7.893;1.26;37.8556;5.1577;0.0446005509641873;"{He"":""Upper limit""}"""
TOI-1259A b;0.441;1.022;3.47798;0.0407;118.11;4775.0;0.739;963.0;10.17403881278539;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{He"":""Detection""}"""
TOI-1268 b;0.29;0.82;8.1577094;0.072;110.0;5200.0;0.92;919.0;11.0;9.4;8.911;1.15;138.3507;46.6465;0.0446005509641873;"{He"":""Detection""}"""
TOI-1420 b;0.079;1.0608;6.9561063;0.071;201.84;5493.0;0.923;957.0;12.0;10.557;10.119;1.15;667.6979;45.5467;0.0446005509641873;"{He"":""Detection""}"""
TOI-1430 b;0.01306;0.1766;7.4341325;0.0706;41.24;5037.0;0.789;813.0;9.2;8.798540093711468;8.350957978986402;1.26;3343.223394303798;4920.829656780736;0.0446005509641873;"{He"":""Detection""}"""
TOI-1431 b/MASCARA-5 b;3.14;1.508;2.65022;0.047;149.6;7690.0;1.92;2370.0;8.0;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{H"":""No detection"",""Ca"":""No detection"",""Fe"":""No detection"",""Fe+"":""No detection"",""Mg"":""No detection"",""Na"":""No detection"",""V"":""No detection"",""TiO"":""No detection"",""VO"":""No detection""}""; {He"":""Upper limit""}""; {Fe"":""Detection"",""Cr"":""Detection""}"""
TOI-1518 b;2.3;1.875;1.902603;0.039;225.888;7300.0;1.95;2892.0;8.952;8.429;8.325;1.15;228.4563;328.1646;0.0446005509641873;"{Fe"":""Detection"",""Fe+"":""Upper limit""}""; {Fe"":""Detection"",""Ni"":""Upper limit"",""Mg"":""Upper limit"",""Fe+"":""Upper limit""}""; {VO"":""Detection"",""Ca+"":""Detection"",""Fe+"":""Detection"",""Ba+"":""Detection"",""Ca"":""Detection"",""Fe"":""Detection"",""Ti"":""Detection"",""Si"":""Detection"",""Mg"":""Detection"",""V"":""Detection"",""Mn"":""Detection"",""Cr"":""Detection"",""Na"":""Detection""}"""
TOI-1683 b;0.025;0.232;3.05752578;0.036;152.8699450231481;5702.228571428572;1.152609202947846;927.0;10.17403881278539;8.798540093711468;8.350957978986402;1.26;3343.223394303798;4920.829656780736;0.0446005509641873;"{He"":""Upper limit""}""; {He"":""Detection""}"""
TOI-1685 b;0.00988;0.124;0.66813924;0.012;37.609;3434.0;0.492;980.0;13.378;9.616;8.758;0.19;7.8317;7.7244;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
TOI-1728 b;0.08426;0.4505;3.49151;0.0391;60.8;3980.0;0.6243;767.0;12.4;9.642;8.803001;1.15;128.0176;29.0195;0.0446005509641873;"{He"":""Upper limit""}"""
TOI-1807 b;0.00809;0.1222;0.549374;0.012;42.577;4757.0;0.68;1499.0;10.0;8.103;7.568;0.19;14.713;10.0954;0.0446005509641873;"{He"":""Upper limit""}""; {H"":""Upper limit""}"""
TOI-2018 b;0.0289;0.2025;7.435583;0.09614;28.0;4219.0;0.62;652.0;10.25;7.844;7.104;1.26;73.2676;7.7966;0.0446005509641873;"{H"":""Upper limit""}""; {He"":""Detection""}"""
TOI-2046 b;2.3;1.44;1.4971842;0.09614;289.668;6160.0;1.237;1540.126812869267;11.552;10.415;10.094;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{H"":""Upper limit""}""; {He"":""Upper limit""}"""
TOI-2048 b;0.019863997664923;0.1838;8.27095205;0.09614;116.39;5185.0;0.79;509.8224561451;11.5;9.895001;9.439;1.26;14.9281;0.4792;0.0446005509641873;"{H"":""Upper limit""}""; {He"":""Upper limit""}"""
TOI-2076 b;0.0107;0.2266;8.27095205;0.088;41.906;5200.0;0.758;870.0;10.0;7.613;7.115;1.26;275.3262;10.5934;0.0446005509641873;"{He"":""Upper limit""}""; {H"":""Upper limit""}""; {He"":""Detection""}"""
TOI-2134 b;0.02873;0.24;8.27095205;0.078;22.62;4406.0;0.77;665.0;8.9;6.776;6.091;1.26;132.6811;11.3497;0.0446005509641873;"{He"":""Detection""}"""
TOI-2136 b;0.0148;0.1865;7.85191;0.054;33.36;3342.0;0.34;378.0;14.0;10.184;9.343;1.26;73.3465;1.429;0.0446005509641873;"{He"":""Upper limit""}"""
TOI-270 d;0.0132;0.19;8.27095205;0.0733;22.453;3386.0;0.38;340.0;12.6;9.099;8.251;1.26;103.1975;1.1477;0.0446005509641873;"{H2O"":""Detection""}""; {CO2"":""Detection"",""CH4"":""Detection""}""; {CH4"":""Detection"",""CO2"":""Detection"",""H2O"":""Detection""}"""
TOI-3362 b;4.0;1.2;8.27095205;0.09614;370.85;6532.0;1.83;1082.279237179;10.86;9.944;9.693;1.15;7.2831;19.0566;0.0446005509641873;"{H2O"":""Upper limit""}"""
TOI-3757 b;0.2684;1.07;3.438753;0.03845;177.4;3913.0;0.62;759.0;15.0;12.0;11.152;1.15;182.4002;55.975;0.0446005509641873;"{He"":""Upper limit""}"""
TOI-421 b;0.05107;0.4612;8.27095205;0.09614;74.7969;5325.0;0.87;697.0;9.931;8.547;8.071;1.15;175.5878;11.9474;0.0446005509641873;"{H2O"":""Detection"",""SO2"":""Upper limit"",""CO"":""Upper limit""}"""
TOI-4481 b;0.006;0.11874;0.9263237;0.01406;12.0641;3600.0;0.4144;940.0;10.17403881278539;8.798540093711468;8.350957978986402;0.19;3343.223394303798;4920.829656780736;0.0446005509641873;"{H"":""Upper limit"",""He"":""Upper limit""}"""
TOI-503 b;4.22;1.29;3.6775;0.09614;152.8699450231481;7639.0;1.79;1540.126812869267;9.4;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0;[]
TOI-5205 b;1.08;1.035;1.630757;0.0199;86.865;3439.0;0.394;737.0;15.0;11.926;11.006;1.15;102.0635;151.7514;0.0446005509641873;"{CH4"":""Detection"",""H2S"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}"""
TOI-5398 b;0.1847;1.008;8.27095205;0.09614;130.855;6000.0;1.053;947.0;10.059;9.026;8.713;1.15;377.0561;53.1865;0.0446005509641873;"{H"":""Detection"",""He"":""Detection"",""Na"":""Detection""}"""
TOI-674 b;0.0739;0.4693;1.977143;0.0231;46.16;3505.0;0.421;661.0;14.2;10.359;9.469;1.15;224.7722;40.2249;0.0;"{H2O"":""Detection""}"""
TOI-677 b;1.234;1.17;8.27095205;0.09614;143.0;6295.0;1.28;1252.0;9.7;8.722;8.429;1.15;90.8291;91.634;0.0446005509641873;"{H2O"":""Upper limit""}"""
TOI-741.01;0.0017102893286844;0.077489910714286;7.5768334;0.09614;10.454;3766.0;0.53;629.0;10.17403881278539;8.798540093711468;8.350957978986402;0.19;3343.223394303798;4920.829656780736;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
TOI-764.01;2.2949373662998;3.0040067767857;5.6316663;0.09614;477.98;6632.0;2.78212;1871.3755219;10.17403881278539;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;[]
TOI-776 b;0.01466;0.1633;8.24664;0.0652;27.19;3709.0;0.538;513.0;11.5;8.483;7.615;1.26;58.9723;2.9218;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
TOI-824 b;0.058104;0.26104;1.392978;0.02177;63.71;4616.0;0.68;1253.0;11.1;9.145001;8.432;1.28;69.5918;23.3768;0.1115013774104683;[]
TOI-836 b;0.01425;0.15202;3.81673;0.0422;27.504;4552.0;0.665;871.0;9.9;7.58;6.804;1.26;82.439;8.4202;0.0446005509641873;"{Featureless spectra"":""Detection""}""; {He"":""Upper limit""}"""
TOI-836 c;0.0302;0.2308;8.27095205;0.075;27.504;4552.0;0.665;665.0;9.9;7.58;6.804;1.26;103.9321;9.7357;0.0446005509641873;"{Featureless spectra"":""Detection""}""; {He"":""Detection""}"""
TOI-910.01;0.0021833028452013;0.082959571428571;2.0290882;0.09614;12.4814;3194.0;0.287497;552.8129815;10.17403881278539;8.798540093711468;8.350957978986402;0.19;3343.223394303798;4920.829656780736;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
TOI-942 c;2.501;0.5166;8.27095205;0.0847;153.2732;4969.0;0.893;778.01232332375;12.0;10.231;9.639;1.15;2.4583;10.0088;0.0446005509641873;"{H"":""Detection""}"""
TRAPPIST-1 b;0.0027;0.09689;1.51087081;0.01111;12.1;2560.0;0.117;503.0;18.798;11.354;10.296;0.19;55.7344;9.7187;0.0446005509641873;"[]; {He"":""No detection""}""; {CO2"":""No detection""}""; {Featureless spectra"":""Detection""}"""
TRAPPIST-1 c;0.00434;0.09421;2.4218233;0.01521;12.1;2560.0;0.117;341.9;18.798;11.354;10.296;0.19;21.6662;1.7484;0.0446005509641873;"{Featureless spectra"":""Detection""}""; []"
TRAPPIST-1 e;0.002;0.0819;6.099615;0.02817;12.1;2560.0;0.117;251.3;18.798;11.354;10.296;0.19;22.7037;0.209;0.0;"{He"":""Theoretical prediction""}"""
TRAPPIST-1 f;0.0021;0.09323;8.27095205;0.0371;12.1;2560.0;0.117;219.0;18.798;11.354;10.296;0.19;27.7955;0.0972;0.0;"{He"":""No detection""}"""
TRAPPIST-1 g;0.00422;0.1005;8.27095205;0.0451;12.1;2560.0;0.117;198.6;18.798;11.354;10.296;0.19;15.7126;0.0499;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
TRAPPIST-1 h;0.001041;0.0674;8.27095205;0.063;12.1;2560.0;0.117;168.0;18.798;11.354;10.296;0.19;16.2525;0.0045;0.0;"{Featureless spectra"":""Upper limit""}""; {Featureless spectra"":""Detection""}"""
TYC 8998-760-1 b;4.22;3.0;8.27095205;0.09614;94.6;4573.0;1.152609202947846;1727.0;11.13;9.072;8.392;1.15;3343.223394303798;4920.829656780736;0.0;"{Isotopic fractions"":""Detection""}"""
TrES-1 b;0.761;1.099;3.0300722;0.0393;157.0;5230.0;0.85;1172.8658238635;11.79;10.294;9.819;1.15;125.7236;106.2879;0.0446005509641873;[]
TrES-2 A b;1.253;1.189;2.4706133738;0.03555;220.0;5850.0;1.0;1455.0;11.41;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
TrES-3 b;1.91;1.305;1.30618608;0.0226;231.337;5720.0;0.813;1654.3238733504;12.4;11.015;10.608;1.15;92.776;187.5688;0.1115013774104683;[]
TrES-4 b;0.917;1.706;3.5539268;0.05084;477.98;6200.0;1.798;1777.940476941;11.592;10.583;10.33;1.15;115.7454;76.0378;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
V 1298 Tau b;2.2;0.8217;8.27095205;0.09614;108.5;4970.0;1.305;677.0;10.1;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{He"":""No detection""}""; {H2O"":""Detection""}"""
V 1298 Tau c;0.087237011804855;0.4389;8.2479;0.0825;108.5;4970.0;1.305;968.0;10.1;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{He"":""No detection""}""; {H"":""No detection""}""; {H"":""Upper limit""}""; {He"":""Upper limit""}""; {C+"":""Upper limit"",""Si+"":""Upper limit""}""; {Molecular ratios: C\/O, etc..."":""Detection""}"""
V 1298 Tau d;0.11813739227052;0.5246;8.27095205;0.09614;108.5;4970.0;1.305;845.0;10.1;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0;"{He"":""Upper limit""}"""
VHS 1256-1257 b;4.22;1.25;8.27095205;0.09614;12.7;2620.0;1.152609202947846;1240.0;17.8;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{CH4"":""Detection"",""Na"":""Detection"",""H2O"":""Detection"",""K"":""Detection"",""Si"":""Detection""}""; {Isotopic fractions"":""Detection"",""CO"":""Detection""}"""
WASP-10 b;3.16;1.08;3.0927616;0.0371;90.0;4675.0;0.783;1370.0;12.7;10.603;9.983;1.15;34.3067;170.9737;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
WASP-100 b;2.03;1.69;2.849375;0.0457;364.411;6900.0;2.0;2710.0;10.8;9.928001;9.669;1.15;84.6586;133.3741;0.0;[]
WASP-101 b;0.5;1.36;3.5857076;0.0496;201.224;6400.0;1.29;1573.0;10.3;9.334;9.075;1.15;328.5444;132.3943;0.0446005509641873;"{Na"":""Upper limit"",""H"":""Upper limit""}""; {Cloudy"":""Detection""}""; {Cloudy"":""Detection"",""Featureless spectra"":""Detection""}"""
WASP-103 b;1.49;1.528;0.925542;0.01985;470.0;6110.0;1.436;2508.0;12.0;11.1;10.767;1.15;89.2073;131.993;0.0;"{H-"":""Detection"",""H2O"":""Detection"",""FeH"":""Detection"",""CO"":""Upper limit"",""CH4"":""Upper limit""}""; {Molecular ratios: C/O, etc..."":""Detection""}""; []; {H2O"":""Detection""}""; {VO"":""Detection"",""TiO"":""Detection""}""; {Na"":""Upper limit"",""TiO"":""Upper limit"",""H2O"":""Upper limit"",""HCN"":""Upper limit""}""; {Na"":""Upper limit"",""H"":""Upper limit""}"""
WASP-104 b;1.272;1.137;1.7554137;0.02918;143.0;5450.0;0.93;1516.0;11.12;10.36;9.882;1.15;87.242;139.3542;0.0;"{Rayleigh Scattering"":""Detection""}"""
WASP-105 b;1.8;0.96;7.87288;0.075;169.272;5070.0;0.9;900.0;12.1;10.456;9.935;1.15;22.5059;41.0021;0.0446005509641873;"{Na"":""Upper limit"",""H"":""Upper limit""}"""
WASP-106 b;1.925;1.085;8.27095205;0.0917;283.0;6000.0;1.85;1140.0;11.21;10.472;10.161;1.15;9.041;15.0342;0.0446005509641873;"{H2O"":""Upper limit""}"""
WASP-107 b;0.12;0.94;5.72149;0.055;64.7414;4430.0;0.66;739.9933284299;11.6;9.378;8.637;1.15;796.0498;97.3879;0.0446005509641873;"{He"":""Detection""}""; {H2O"":""Detection"",""CO2"":""Detection"",""CO"":""Detection"",""CH4"":""Detection"",""SO2"":""Detection"",""NH3"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {Cloudy"":""Detection""}""; []; {SO2"":""Detection"",""CH4"":""No detection"",""Cloudy"":""Detection"",""H2O"":""Detection""}"""
WASP-111 b;1.85;1.442;2.310965;0.03914;210.0;6400.0;1.85;2140.0;10.3;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0;[]
WASP-117 b;0.3;0.98;8.27095205;0.0714;157.963;6040.0;1.17;1179.0;10.15;9.143;8.78;1.15;203.8436;61.3378;0.0;"{H2O"":""Detection""}"""
WASP-12 b;1.47;1.9;1.09141937;0.02344;432.5;6360.0;1.657;2593.0;11.69;10.48;10.19;1.15;179.597;199.8144;0.0;"[]; {TiO"":""No detection""}""; {H2O"":""Detection""}""; {He"":""No detection""}""; {Mg+"":""Detection""}""; {Fe+"":""Detection""}""; {H"":""Detection"",""Na"":""Detection""}""; {Featureless spectra"":""Detection"",""He"":""Upper limit""}""; {CO2"":""Detection"",""H2O"":""Detection""}""; {H"":""No detection"",""Ca"":""Upper limit"",""Fe"":""Upper limit"",""Fe+"":""Upper limit"",""Cr"":""Upper limit"",""Mg"":""Upper limit"",""Ti"":""Upper limit"",""TiO"":""Upper limit"",""Ti+"":""Upper limit""}"""
WASP-120 b;4.22;1.515;3.6112706;0.0522;381.174;6450.0;1.93;1880.0;11.0;10.148;9.877;1.15;16.4713;66.7841;0.0446005509641873;"{Na"":""Upper limit"",""H"":""Upper limit""}"""
