name;mass;radius;orbital_period;semi_major_axis;star_distance;star_teff;star_radius;temp_calculated;mag_v;mag_j;mag_k;scale_factor;tsm;esm;albedo;molecules
WASP-121 b;1.184;1.865;1.2749255;0.02544;270.0;6460.0;1.458;2358.2301174049;10.4;9.625;9.374;1.15;367.2434;311.5408;0.0446005509641873;"[]; {Atmospheric dynamics"":""Detection""}""; {He"":""Detection""}""; {Sc+"":""Detection""}""; {Ba+"":""Detection""}""; {Ca+"":""Detection"",""V+"":""Detection"",""Fe+"":""Detection"",""Ni+"":""Detection"",""Ti"":""No detection""}""; {H"":""Detection"",""Fe+"":""Detection"",""Ca+"":""Detection""}""; {Na"":""Detection""}""; {H2O"":""Detection""}""; {TiO"":""Detection"",""VO"":""Detection"",""H2O"":""Detection""}""; {Fe"":""Detection"",""Cr"":""Detection"",""Mg"":""Detection"",""V"":""Detection""}""; {Mg"":""Detection"",""Na"":""Detection"",""Ca"":""Detection"",""Cr"":""Detection"",""Fe"":""Detection"",""Ni"":""Detection""}""; {Cr"":""Detection"",""Fe"":""Detection"",""Fe+"":""Detection"",""V"":""Detection""}""; {CO"":""Detection"",""H2O"":""Detection""}""; {Molecular ratios: C\/O, etc..."":""Detection"",""Cloudy"":""Detection""}""; {Mg+"":""Detection"",""Fe+"":""Detection""}""; {H"":""Detection"",""Na"":""Detection"",""Fe"":""Detection""}""; {Na"":""Detection"",""H"":""Detection"",""K"":""Detection"",""Li"":""Detection"",""Ca+"":""Detection"",""Mg"":""Detection"",""Fe"":""Detection"",""Fe+"":""Detection"",""Cr"":""Detection""}""; {Fe"":""Detection""}""; {H2O"":""Detection"",""H-"":""Detection"",""VO"":""Detection"",""TiO"":""Detection""}""; {CO"":""Detection"",""H2O"":""Detection"",""Fe"":""Detection"",""Ni"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {Molecular ratios: C\/O, etc..."":""Detection"",""H2O"":""Detection"",""CO"":""Detection"",""OH"":""Detection""}"""
WASP-122 b;1.401;1.792;1.7100567;0.03107;152.8699450231481;5730.0;1.567;1970.0;11.0;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0;"[]; {Featureless spectra"":""Detection""}"""
WASP-124 b;0.6;1.24;3.37265;0.0499;433.0;6050.0;1.02;1400.0;12.7;11.65;11.31;1.15;101.6809;55.0733;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
WASP-127 b;0.18;1.37;4.178062;0.052;159.507;5620.0;1.39;1401.120537294;10.15;9.092;8.641;1.15;800.0794;135.1116;0.0446005509641873;"{Na"":""Upper limit""}""; {CO"":""Detection"",""H2O"":""Detection""}""; {Rayleigh Scattering"":""Detection"",""Na"":""Upper limit""}""; {Na"":""Detection"",""K"":""Detection"",""Li"":""Detection"",""H2O"":""Upper limit""}""; {He"":""Upper limit""}""; {H2O"":""Detection"",""OH"":""Detection"",""CO"":""Upper limit"",""CO2"":""Upper limit""}""; {Na"":""No detection""}""; {H2O"":""Detection"",""FeH"":""Detection""}""; {H2O"":""Detection"",""CO"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {H2O"":""Upper limit"",""Na"":""Detection"",""K"":""Upper limit"",""Li"":""Upper limit"",""H"":""Upper limit""}""; {Cloudy"":""Detection"",""Featureless spectra"":""Detection""}""; {Rayleigh Scattering"":""Detection""}"""
WASP-130 b;1.23;0.89;8.27095205;0.09614;180.0;5625.0;0.96;833.0;11.1;9.896;9.461;1.15;27.629;28.4427;0.0446005509641873;"{H2O"":""Upper limit""}"""
WASP-131 b;0.27;1.22;5.322023;0.0607;250.0;6030.0;1.53;1400.0;10.1;8.895001;8.573;1.15;340.1408;83.8906;0.0446005509641873;"{Na"":""Upper limit"",""H"":""Upper limit""}"""
WASP-14 b;4.22;1.281;2.2437661;0.036;160.0;6475.0;1.306;1880.5875899691;9.75;8.869;8.621;1.15;27.0207;185.1999;0.0;[]
WASP-140 b;2.44;1.44;2.2359835;0.0323;180.0;5260.0;0.87;1320.0;11.1;9.609;9.165;1.15;129.9066;291.286;0.0446005509641873;[]
WASP-15 b;0.542;1.428;3.7520656;0.0499;308.0;6300.0;1.477;1652.7759296065;10.9;9.956;9.693;1.15;211.172;92.5022;0.0446005509641873;"{H2O"":""Detection"",""CO2"":""Detection"",""CO"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}"""
WASP-156 b;0.1303;0.554;3.8361623;0.0451;140.0;4910.0;0.76;972.0;11.6;9.906;9.339;1.15;116.5794;31.0371;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
WASP-166 b;0.102;0.6155;5.44354215;0.0668;113.0;6050.0;1.22;1270.0;9.36;8.35;8.032;1.15;212.0147;36.0367;0.0;"{CO2"":""Detection"",""H2O"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {H2O"":""Upper limit""}""; {Na"":""Detection""}""; {Na"":""Upper limit""}"""
WASP-167 b;0.37;1.62;2.0219583;0.0365;381.0;7043.0;1.756;2329.0;10.5;9.929;9.76;1.15;455.8918;120.6862;0.1115013774104683;[]
WASP-17 b;0.486;1.991;3.735438;0.0515;405.908;6650.0;1.38;1659.9347966951;11.6;10.509;10.224;1.15;569.257;152.5962;0.0;"{H2O"":""Detection"",""AlO"":""Detection""}""; {Na"":""Detection"",""H2O"":""Detection""}""; {CO2"":""Detection"",""H2O"":""Detection"",""Na"":""No detection"",""K"":""No detection""}""; {K"":""Detection""}""; {SO2"":""Detection""}""; {H2O"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection"",""Eclipse mapping"":""Detection""}""; {H2O"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {H2O"":""Detection"",""H-"":""Detection"",""K"":""Detection""}"""
WASP-172 b;0.47;1.57;5.477433;0.0694;477.98;6900.0;1.91;1740.0;11.0;10.312;10.13;1.15;172.9345;53.4575;0.0446005509641873;"{Fe"":""Detection"",""H"":""Detection"",""Na"":""Detection""}"""
WASP-177 b;0.508;1.58;3.071722;0.03957;178.0;5017.0;0.885;1142.0;11.6;10.654;10.163;1.15;425.8779;172.6559;0.0;"{He"":""Upper limit""}"""
WASP-178 b;1.41;1.94;3.3448285;0.0558;417.0;8640.0;1.801;2402.0;9.95;9.8;9.703;1.15;213.7616;140.1074;0.0446005509641873;"{Na"":""Detection"",""H"":""Detection"",""Fe"":""Detection"",""Fe+"":""Detection"",""Mg"":""Detection"",""Li"":""Upper limit""}""; {Molecular ratios: C\/O, etc..."":""Detection"",""H2O"":""Detection"",""CO"":""Detection"",""OH"":""Upper limit"",""Fe"":""Upper limit""}""; {Rayleigh Scattering"":""Detection""}""; []"
WASP-18 b;4.22;1.165;0.9414518;0.02047;100.0;6400.0;1.23;2069.0;9.3;8.409;8.131;1.15;21.931;253.2777;0.0446005509641873;"[]; {CO"":""Detection"",""H2O"":""Detection"",""OH"":""Detection""}""; {H2O"":""Detection""}""; {CO"":""Detection""}""; {H2O"":""Detection"",""H-"":""Detection""}"""
WASP-189 b;1.99;1.619;2.724033;0.05053;99.0;7996.0;2.33;3353.0;6.6;6.166;6.06;1.15;391.3877;532.2683;0.0446005509641873;"{TiO"":""Detection"",""Fe"":""Detection"",""Fe+"":""Detection"",""Ti"":""Detection"",""Ti+"":""Detection"",""Cr"":""Detection"",""Mg"":""Detection"",""V"":""Detection"",""Mn"":""Detection""}""; {He"":""Upper limit""}""; []; {Fe"":""Detection"",""Fe+"":""Detection"",""Ti"":""Detection"",""H"":""Upper limit"",""Ca"":""Upper limit""}""; {CO"":""Detection""}""; {Fe"":""Detection""}""; {H"":""Detection"",""Na"":""Detection"",""Mg"":""Detection"",""Ca"":""Detection"",""Ca+"":""Detection"",""Ti"":""Detection"",""Ti+"":""Detection"",""TiO"":""Detection"",""V"":""Detection"",""Cr"":""Detection"",""Mn"":""Detection"",""Fe"":""Detection"",""Fe+"":""Detection"",""Ni"":""Detection"",""Sr"":""Detection"",""Sr+"":""Detection"",""Ba+"":""Detection""}""; {Mg+"":""Detection""}""; {Ca+"":""Detection"",""Ba+"":""Detection"",""Na"":""Detection"",""H"":""Detection"",""Mg"":""Detection"",""Fe"":""Detection""}""; {CO"":""Detection"",""Fe"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}"""
WASP-19 b;1.139;1.41;0.78884;0.016634;268.325;5500.0;1.004;2077.0;12.3;10.911;10.481;1.15;169.4731;226.5936;0.0;"[]; {TiO"":""Detection""}""; {H2O"":""Detection"",""TiO"":""No detection""}""; {H2O"":""Detection""}""; {Featureless spectra"":""Detection"",""TiO"":""Upper limit""}""; {TiO"":""Detection"",""Fe"":""Upper limit"",""Na"":""Upper limit"",""Mg"":""Upper limit"",""Ca"":""Upper limit"",""H"":""Upper limit"",""K"":""Upper limit""}""; {TiO"":""No detection"",""Rayleigh Scattering"":""No detection""}"""
WASP-2 A b;0.847;1.079;2.15222144;0.03138;144.0;5150.0;0.834;1280.2572378257;11.98;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
WASP-20 A b;0.313;1.459;4.8996285;0.06003;210.0;5950.0;1.392;1379.0;10.68;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{H2O"":""Detection""}"""
WASP-21 b;0.3;1.21;4.3225126;0.052;230.0;5800.0;1.06;1262.7364280837;11.6;10.35;9.982;1.15;287.1665;78.133;0.0;"{Na"":""Detection"",""K"":""Upper limit""}""; {Na"":""Detection""}"""
WASP-24 b;1.071;1.3;2.3412127;0.03651;332.5;6075.0;1.147;1641.9333714818;11.3;10.457;10.148;1.15;105.455;106.4027;0.0446005509641873;[]
WASP-25 b;0.58;1.26;3.76483;0.0474;169.0;5750.0;0.95;1241.2919288521;11.9;10.596;10.174;1.15;183.2772;94.4937;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
WASP-26 b;1.028;1.281;2.7566004;0.03985;250.0;5950.0;1.34;1663.7522548384;11.3;10.021;9.69;1.15;95.3963;97.8381;0.0446005509641873;[]
WASP-29 b;0.243;0.775;3.92271218;0.047;80.0;4800.0;0.846;981.99877257807;11.3;9.353;8.783;1.15;179.9977;66.5269;0.0;"{Featureless spectra"":""Detection""}"""
WASP-3 b;2.06;1.454;1.8468372;0.0313;223.0;6400.0;1.31;1996.5349086248;10.64;9.603;9.361;1.15;105.964;187.1871;0.1115013774104683;[]
WASP-31 b;0.478;1.537;3.405909;0.04657;400.0;6200.0;1.24;1542.7049326474;11.7;10.912;10.65;1.15;254.5841;89.0085;0.0446005509641873;"{CrH"":""Detection"",""H2O"":""Detection"",""K"":""Detection""}""; {CrH"":""Detection""}"""
WASP-32 b;3.6;1.18;2.71865;0.0394;275.994;6100.0;1.11;1561.2651602982;11.3;10.503;10.161;1.15;23.3223;85.2537;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
WASP-33 b;2.8;1.603;1.21986967;0.02558;116.0;7400.0;1.444;2300.0;8.3;7.581;7.468;1.15;251.324;466.239;0.0;"{Ti"":""Detection"",""Ti+"":""Detection"",""V"":""Detection"",""Fe"":""Detection"",""Si"":""Detection"",""OH"":""Detection"",""V+"":""No detection"",""Fe+"":""No detection"",""Si+"":""No detection""}""; {OH"":""Detection"",""H2O"":""Detection""}""; {Si"":""Detection""}""; {CO"":""Detection"",""H2O"":""Detection"",""OH"":""Detection"",""Molecular ratios: C/O, etc..."":""Detection""}""; {Fe"":""Detection""}""; {CO"":""Detection""}""; {H"":""Detection""}""; {Ca+"":""Detection""}""; {H2O"":""Detection""}""; []; {TiO"":""Detection""}""; {AlO"":""Detection""}""; {TiO"":""No detection""}""; {H"":""Detection"",""Ca+"":""Detection"",""TiO"":""Upper limit"",""V"":""Upper limit"",""Ti"":""Upper limit"",""Ca"":""Upper limit"",""Fe+"":""Upper limit"",""FeH"":""Upper limit"",""Mg"":""Upper limit"",""Cr"":""Upper limit"",""Y"":""Upper limit"",""VO"":""Upper limit"",""AlO"":""Upper limit""}""; {H2O"":""Detection"",""H-"":""Detection"",""TiO"":""Detection""}""; {FeH"":""Upper limit""}""; {Fe"":""Detection"",""TiO"":""Detection""}"""
WASP-34 b;0.58;1.26;4.31768509;0.0545;120.0;5700.0;0.93;1252.0;10.4;9.172;8.792;1.15;371.638;191.2833;0.0;[]
WASP-36 b;2.279;1.269;1.5373653;0.02624;450.0;5881.0;0.943;1781.0;12.7;11.609;11.294;1.15;43.519;104.6405;0.1115013774104683;"{Featureless spectra"":""Detection""}""; []"
WASP-39 b;0.28;1.27;4.055259;0.0486;230.0;5400.0;0.895;1117.4306974117;12.11;10.663;10.202;1.15;382.3188;94.0098;0.0446005509641873;"{Na"":""Detection"",""H2O"":""Detection"",""CO2"":""Detection"",""CO"":""Detection"",""CH4"":""No detection""}""; {SO2"":""Detection"",""CO2"":""Detection"",""H2O"":""Detection"",""Molecular ratios: C/O, etc..."":""Detection""}""; {Molecular ratios: C/O, etc..."":""Detection"",""H2O"":""Detection"",""CH4"":""Upper limit""}""; {SO2"":""Detection""}""; {K"":""Detection"",""Cloudy"":""Detection"",""Molecular ratios: C/O, etc..."":""Detection"",""H2O"":""Detection""}""; {Na"":""Detection""}""; {H2O"":""Detection""}""; {CO"":""Detection""}""; {Na"":""No detection"",""K"":""No detection"",""Featureless spectra"":""Detection""}""; {He"":""Upper limit""}""; {SO2"":""Detection"",""H2O"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {CO2"":""Detection"",""H2O"":""Detection""}""; {Na"":""Detection"",""K"":""Detection"",""H2O"":""Detection"",""CO"":""Detection"",""CO2"":""Detection"",""SO2"":""Detection""}""; {CO2"":""Detection""}"""
WASP-4 b;1.1974;1.3846;1.338231602;0.02312;300.0;5500.0;1.15;1870.4717347103;12.6;11.179;10.746;1.15;92.6163;125.8861;0.0446005509641873;"[]; {Featureless spectra"":""No detection""}""; {Featureless spectra"":""Detection""}"""
WASP-43 b;2.052;1.036;0.81347753;0.01526;86.7467;4520.0;0.667;1440.9786293295;12.4;9.995;9.267;1.15;89.4346;343.1503;0.0446005509641873;"[]; {CO"":""Detection"",""H2O"":""Detection"",""NH3"":""Detection"",""CH4"":""No detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {H2O"":""Detection"",""AlO"":""Detection""}""; {Molecular ratios: C/O, etc..."":""Detection"",""CO"":""Detection"",""H2O"":""Detection"",""CH4"":""Upper limit""}""; {H2O"":""Detection""}""; {H2O"":""Detection"",""Cloudy"":""Detection""}""; {CO2"":""Detection"",""H2O"":""Detection""}""; {H2O"":""Detection"",""CO"":""Upper limit"",""CO2"":""Upper limit"",""CH4"":""Upper limit"",""Molecular ratios: C\/O, etc..."":""Upper limit""}"""
WASP-45 b;1.007;1.16;3.1260876;0.04054;211.196;5140.0;0.945;1153.0;12.0;10.753;10.294;1.15;71.9297;76.0457;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
WASP-46 b;2.101;1.31;1.43037;0.02448;375.31;5620.0;0.917;1636.0;12.9;11.753;11.401;1.15;47.2096;103.3968;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
WASP-47 d;0.04122;0.319;8.27095205;0.088;266.69;5552.0;1.14;963.59381128945;11.9;10.613;10.192;1.28;24.9149;2.6166;0.0446005509641873;"{He"":""Upper limit""}"""
WASP-48 b;0.98;1.67;2.143634;0.03444;454.144;5990.0;1.75;2058.9591505656;11.06;10.627;10.372;1.15;121.7007;98.2247;0.0446005509641873;"{He"":""No detection""}"""
WASP-49 A b;0.378;1.115;2.7817387;0.0378;170.0;5600.0;0.9;1317.6402016412;10.17403881278539;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{Na"":""Detection""}""; {Na"":""No detection"",""Featureless spectra"":""Detection""}"""
WASP-5 b;1.637;1.171;1.6284246;0.02729;297.0;5700.0;1.084;1706.0;12.26;10.949;10.598;1.15;46.7671;90.0406;0.1115013774104683;[]
WASP-50 b;1.437;1.138;1.9550959;0.02913;230.0;5400.0;0.855;1394.84;11.6;10.401;9.969;1.15;82.7104;139.0452;0.1115013774104683;[]
WASP-52 b;0.46;1.27;1.74977083;0.0272;140.0;5000.0;0.79;1315.0;12.0;10.588;10.086;1.15;363.8505;189.7595;0.0;"{H2O"":""Detection"",""He"":""Detection"",""K"":""Upper limit""}""; {He"":""Upper limit""}""; {H2O"":""Detection""}""; {Na"":""Detection"",""K"":""Detection"",""H"":""Detection""}""; {He"":""Detection""}""; {He"":""No detection""}""; []"
WASP-57 b;0.8;1.1;2.8;0.03769;398.276;5600.0;0.93;1338.0;12.913;11.625;11.244;1.15;61.9122;54.3153;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
WASP-6 b;0.503;1.224;3.361006;0.0421;307.0;5450.0;0.87;1194.6715890617;12.4;10.769;10.325;1.15;205.2978;98.3195;0.0;"{Na"":""Detection"",""K"":""Detection"",""H2O"":""Detection""}"""
WASP-62 b;0.58;1.39;4.41193811;0.0581;160.0;6230.0;1.28;1415.0;10.3;9.272;8.944;1.15;284.283;128.6339;0.0;"{H2O"":""Detection"",""FeH"":""Detection""}""; {Na"":""Detection""}"""
WASP-63 b;0.38;1.43;4.37809;0.0574;330.0;5550.0;1.88;1531.6143143633;11.2;9.818;9.393;1.15;184.3556;67.2729;0.0;"{H2O"":""Detection""}"""
WASP-67 b;0.42;1.4;4.61442;0.0517;225.0;5200.0;0.87;1028.6109740736;12.5;10.608;10.129;1.15;341.1501;110.5915;0.0446005509641873;"[]; {Featureless spectra"":""Upper limit""}"""
WASP-69 b;0.26;1.057;3.8681382;0.04525;50.0;4715.0;0.813;963.0;9.87;8.032;7.459;1.15;832.712;241.5899;0.0446005509641873;"{Na"":""Detection""}""; {Rayleigh Scattering"":""Detection""}""; {Na"":""Detection"",""Rayleigh Scattering"":""Detection"",""H"":""Upper limit"",""K"":""No detection""}""; {He"":""Detection""}""; {TiO"":""Detection""}""; {H2O"":""Detection""}""; {H2O"":""Detection"",""CO"":""Detection"",""CO2"":""Detection"",""Cloudy"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {HCN"":""No detection"",""CO"":""Detection"",""CO2"":""No detection"",""CH4"":""Detection"",""NH3"":""Detection"",""H2O"":""Detection""}""; {FeH"":""Upper limit""}""; {Featureless spectra"":""Detection""}"""
WASP-7 b;0.96;1.33;4.9546416;0.0617;140.0;6400.0;1.432;1487.0;9.51;8.648;8.396;1.15;168.3863;127.8366;0.0446005509641873;"{Na"":""Detection""}"""
WASP-72 b;1.461;1.27;2.2167421;0.03708;434.754;6250.0;1.98;2202.2986104156;9.6;9.964;9.617;1.15;40.7103;65.9873;0.0;[]
WASP-74 b;0.826;1.248;2.13775138;0.03443;120.0;5970.0;1.64;1865.0;9.7;8.548;8.221;1.15;161.9022;145.4127;0.0;"{H2O"":""Upper limit"",""CH4"":""Upper limit"",""TiO"":""No detection"",""VO"":""No detection"",""Featureless spectra"":""Detection""}""; {TiO"":""No detection"",""Rayleigh Scattering"":""Detection"",""VO"":""No detection""}""; {Featureless spectra"":""Detection""}""; []; {H2O"":""Detection"",""CH4"":""Detection""}"""
WASP-76 b;0.92;1.83;1.809886;0.033;195.3;6250.0;1.73;2190.0;9.5;8.541;8.243;1.15;485.1939;335.1729;0.0;"{Na"":""Detection""}""; []; {Ba+"":""Detection""}""; {Ca+"":""Detection"",""He"":""Upper limit"",""Na"":""Upper limit"",""Li"":""Upper limit"",""H"":""Upper limit"",""K"":""Upper limit""}""; {Cloudy"":""Detection""}""; {Na"":""Detection"",""Ca+"":""Detection""}""; {Ca+"":""Detection"",""Na"":""Detection""}""; {Molecular ratios: C\/O, etc..."":""Detection"",""Fe"":""Detection"",""Mg"":""Detection"",""VO"":""Detection""}""; {OH"":""Detection""}""; {CO"":""Detection""}""; {V"":""Detection"",""Cr"":""Detection"",""Sr"":""Detection"",""Co+"":""Detection""}""; {TiO"":""Detection"",""VO"":""Upper limit"",""H2O"":""Detection""}""; {Fe+"":""Detection""}""; {Li"":""Detection"",""Na"":""Detection"",""Mg"":""Detection"",""Ca+"":""Detection"",""K"":""Detection"",""Fe"":""Detection"",""Ti"":""Upper limit"",""Cr"":""Upper limit"",""Ni"":""Upper limit"",""TiO"":""Upper limit"",""VO"":""Upper limit"",""ZrO"":""Upper limit""}""; {H2O"":""Detection""}""; {OH"":""Detection"",""H2O"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {H2O"":""Detection"",""CO"":""Detection"",""OH"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {HCN"":""Detection"",""H2O"":""Detection""}""; {Fe"":""Detection"",""Ca+"":""Detection"",""Cr"":""Detection"",""Li"":""Detection"",""Mg"":""Detection"",""Na"":""Detection"",""Mn"":""Detection"",""Sr"":""Detection"",""Ni"":""Detection"",""V"":""Detection""}""; {Fe"":""Detection"",""Na"":""Detection"",""Ca+"":""Detection"",""Cr"":""Detection"",""Li"":""Detection"",""H"":""Detection"",""V"":""Detection"",""VO"":""Detection"",""Mn"":""Detection"",""Ni"":""Detection"",""Mg"":""Detection"",""Ca"":""Detection"",""K"":""Detection"",""Ba+"":""Detection""}""; {He"":""Upper limit""}""; {Fe"":""Detection""}""; {Fe"":""Detection"",""Na"":""Detection"",""Ca+"":""Detection""}""; {Fe"":""Detection"",""Fe+"":""No detection""}""; {H2O"":""Detection"",""TiO"":""Detection""}""; {FeH"":""Upper limit""}"""
WASP-77 A b;1.76;1.21;1.3600309;0.024;105.166;5500.0;0.955;1715.0;11.29;8.766;8.405;1.15;169.863;357.695;0.0446005509641873;"{CO"":""Detection"",""H2O"":""Detection"",""C"":""Detection"",""O"":""Detection""}""; {Molecular ratios: C/O, etc..."":""Detection""}""; {H2O"":""Detection""}""; []; {CO"":""Detection"",""H2O"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {H2O"":""Detection"",""TiO"":""Detection"",""CO2"":""Detection"",""CH4"":""Detection""}""; {H2O"":""Detection"",""CO"":""Detection"",""TiO"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {Na"":""Upper limit"",""H"":""Upper limit""}""; {H"":""Upper limit"",""Ca+"":""Upper limit""}"""
WASP-79 b;0.835;1.58;3.66239094;0.05014;240.0;6600.0;1.64;1716.2;10.1;9.299;9.056;1.15;211.6231;123.989;0.0;"{Cloudy"":""Upper limit""}""; {Rayleigh Scattering"":""Detection""}""; {H2O"":""Detection"",""FeH"":""Detection""}""; {H2O"":""Detection"",""H-"":""Detection""}""; {H2O"":""Detection"",""H-"":""Upper limit""}""; {Na"":""Detection""}"""
WASP-8 b;2.244;1.038;8.158715;0.0801;87.0;5600.0;0.953;931.4331151689;9.9;8.501;8.086;1.15;51.8243;96.0951;0.0446005509641873;[]
WASP-80 b;0.554;0.952;3.0678504;0.0346;60.0;4145.0;0.63;825.0;11.881;9.218;8.351;1.15;235.9239;178.2755;0.0446005509641873;"{He"":""No detection""}""; {Na"":""Upper limit""}""; {H2O"":""Detection"",""Rayleigh Scattering"":""Detection""}""; {He"":""Upper limit""}""; []; {H2O"":""Detection"",""CH4"":""Detection"",""HCN"":""Detection"",""NH3"":""Detection""}""; {CH4"":""Detection""}"""
WASP-85 A b;1.265;1.24;2.6556777;0.039;141.887;6112.0;0.935;1452.0;11.2;9.275;8.733;1.15;177.7117;226.052;0.0446005509641873;"{H"":""Detection"",""Ca+"":""Detection"",""Li"":""Detection""}"""
WASP-88 b;0.56;1.7;4.954;0.06431;477.98;6431.0;2.08;1775.0;10.4;10.568;10.322;1.15;140.8732;54.1341;0.0;"{Featureless spectra"":""Detection""}"""
WASP-94 A b;0.452;1.72;3.9501907;0.055;211.211;6170.0;1.36;1604.0;10.1;9.159;8.874;1.15;731.0911;225.1945;0.0;"{Na"":""Upper limit""}""; {Na"":""Detection"",""Rayleigh Scattering"":""Detection""}"""
WASP-96 b;0.48;1.2;3.4252602;0.0453;352.464;5540.0;1.05;1285.0;12.2;11.267;10.914;1.15;119.0214;55.5744;0.0446005509641873;"{Molecular ratios: C/O, etc..."":""Detection"",""Rayleigh Scattering"":""Upper limit""}""; {H2O"":""Detection"",""CO2"":""Detection"",""K"":""Detection"",""Molecular ratios: C/O, etc..."":""Detection"",""Rayleigh Scattering"":""Detection""}""; {H2O"":""Detection"",""Na"":""Detection"",""O"":""Detection""}""; {Na"":""Detection"",""H2O"":""Detection""}"""
WASP-98 b;0.83;1.1;2.96264;0.036;281.742;5525.0;0.7;1180.0;13.0;11.691;11.284;1.15;90.1123;75.7933;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
WD 1856+534 b;4.22;0.928;1.4079405;0.0204;24.754;4710.0;0.013;163.0;16.0;15.677;15.548;1.15;207.9044;2.0298;0.0;"{Featureless spectra"":""Detection""}"""
XO-1 b;0.9;1.184;3.9415128;0.0488;200.0;5750.0;0.928;1209.1087855507;11.3;9.939;9.527;1.15;135.388;112.1302;0.0;"{H2O"":""Detection""}""; []"
XO-2N b;0.62;0.973;2.615838;0.0369;149.0;5290.0;0.998;1326.6037317078;11.14;9.74;9.3;1.15;113.4031;95.1814;0.0446005509641873;"{K"":""Detection""}""; []; {H2O"":""Upper limit""}""; {Na"":""Detection""}"""
XO-3 b;4.22;1.217;3.1915239;0.0454;260.0;6781.0;1.49;1873.2356190675;9.8;9.01;8.79;1.15;10.3461;111.9769;0.0446005509641873;[]
XO-4 b;1.616;1.317;4.12473;0.05485;293.0;5700.0;1.55;1641.0;10.7;9.67;9.41;1.15;57.1425;90.4331;0.0446005509641873;[]
beta Pic b;4.22;1.65;8.27095205;0.09614;19.3;8052.0;1.8;165.30989481434;3.86;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{H2O"":""Detection"",""SiO2"":""No detection""}""; {H2O"":""Detection"",""CO"":""Detection""}""; {CO"":""Detection"",""H2O"":""Detection"",""Molecular ratios: C/O, etc..."":""Detection""}"""
pi Men c;0.01142;0.16719;6.267852;0.06702;18.37;6037.0;1.1;1147.0;5.67;4.869;4.241;1.26;229.5163;15.4975;0.0;"{C+"":""Detection""}""; {H"":""No detection""}"""
tau Boo A b;4.22;1.06;3.31249;0.046;15.6;6309.0;1.331;1636.4551015556;4.5;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0;"{He"":""Upper limit""}""; {H2O"":""Detection""}""; {CO"":""Detection""}""; {CO"":""Detection"",""H2O"":""Upper limit"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {CO"":""Detection"",""H2O"":""Upper limit"",""CH4"":""Upper limit"",""CO2"":""Upper limit"",""HCN"":""Upper limit"",""TiO"":""Upper limit"",""NH3"":""Upper limit""}"""
ups And b;0.62;1.6296235737175;4.61711;0.059;13.47;6212.0;1.631;1574.946757955;4.09;3.175;2.859;1.15;4868.8475;2159.4555;0.0;"{CO"":""Upper limit"",""H2O"":""Detection"",""CH4"":""Upper limit""}"""
